,Series,k,delta,centroidNum,Mean,stdDev,count
369,4,16,1,1,11.748540741956345,11.851155268140845,22
370,4,16,1,2,4.751931136706009,2.969083082760442,19
371,4,16,1,3,4.12384027456861,1.9427735641293105,5
372,4,16,1,4,7.2404738090867005,5.06841451487219,26
373,4,16,1,5,4.932778287260078,,1
374,4,16,1,6,4.493378759871993,4.462273158670672,21
375,4,16,1,7,,,0
376,4,16,1,8,,,0
377,4,16,1,9,,,0
378,4,16,1,10,5.134051144802328,3.0358378098860284,11
379,4,16,1,11,,,0
380,4,16,1,12,,,0
381,4,16,1,13,2.881516065281829,,1
382,4,16,1,14,,,0
383,4,16,1,15,,,0
384,4,16,1,16,,,0
