,Series,k,delta,centroidNum,Mean,stdDev,count
337,2,16,1,1,5.286201045438949,4.6685055041297545,26
338,2,16,1,2,6.096906714444838,4.738836787336811,24
339,2,16,1,3,9.0160380569957,3.6351083463658345,4
340,2,16,1,4,8.843151393535443,4.418441341481359,18
341,2,16,1,5,,,0
342,2,16,1,6,6.238971679270053,4.830539680830507,15
343,2,16,1,7,,,0
344,2,16,1,8,,,0
345,2,16,1,9,,,0
346,2,16,1,10,5.543805446040016,2.5431400988360995,15
347,2,16,1,11,,,0
348,2,16,1,12,,,0
349,2,16,1,13,,,0
350,2,16,1,14,4.1827754450367856,1.1979705633145201,4
351,2,16,1,15,,,0
352,2,16,1,16,,,0
