,dataset,k,Average Mean Error,Average stdDev
101,1,16,5.630419163,4.424955208
102,2,16,6.790878808,4.555293421
103,3,16,7.591301766,5.912122631
104,4,16,5.263780375,4.628624643
105,5,16,5.55373874,4.571667724
106,6,16,5.730609187,4.142707807
107,7,16,5.358985033,4.250570669
108,8,16,21.47563673,5.76594903
109,9,16,11.44550107,4.647011741
110,10,16,6.705006127,4.299021286
,,,8.1545857,4.719792416
