,Series,k,delta,centroidNum,Mean,stdDev,count
4456,6,81,0.5,1,7.884467400182357,4.497034062397123,5
4457,6,81,0.5,2,4.175048662960389,3.1378825513723387,25
4458,6,81,0.5,3,,,0
4459,6,81,0.5,4,3.81628450240681,2.7661015144693724,7
4460,6,81,0.5,5,4.923738420891158,4.529197229471928,11
4461,6,81,0.5,6,,,0
4462,6,81,0.5,7,,,0
4463,6,81,0.5,8,2.8667435435863737,0.29177420296787526,2
4464,6,81,0.5,9,,,0
4465,6,81,0.5,10,,,0
4466,6,81,0.5,11,4.492986289519251,4.9071815082189,3
4467,6,81,0.5,12,,,0
4468,6,81,0.5,13,,,0
4469,6,81,0.5,14,6.138646975114282,3.545492973406763,17
4470,6,81,0.5,15,,,0
4471,6,81,0.5,16,,,0
4472,6,81,0.5,17,,,0
4473,6,81,0.5,18,,,0
4474,6,81,0.5,19,,,0
4475,6,81,0.5,20,32.13594102416464,,1
4476,6,81,0.5,21,,,0
4477,6,81,0.5,22,,,0
4478,6,81,0.5,23,,,0
4479,6,81,0.5,24,,,0
4480,6,81,0.5,25,,,0
4481,6,81,0.5,26,,,0
4482,6,81,0.5,27,,,0
4483,6,81,0.5,28,,,0
4484,6,81,0.5,29,4.429229072599009,4.286394138997973,8
4485,6,81,0.5,30,,,0
4486,6,81,0.5,31,,,0
4487,6,81,0.5,32,2.9120130395203536,2.4582280123939606,2
4488,6,81,0.5,33,,,0
4489,6,81,0.5,34,,,0
4490,6,81,0.5,35,,,0
4491,6,81,0.5,36,,,0
4492,6,81,0.5,37,,,0
4493,6,81,0.5,38,5.341947672141351,4.051603198660907,12
4494,6,81,0.5,39,3.826172707118694,2.4796569901621313,8
4495,6,81,0.5,40,,,0
4496,6,81,0.5,41,,,0
4497,6,81,0.5,42,,,0
4498,6,81,0.5,43,,,0
4499,6,81,0.5,44,,,0
4500,6,81,0.5,45,,,0
4501,6,81,0.5,46,,,0
4502,6,81,0.5,47,20.02581846536385,,1
4503,6,81,0.5,48,,,0
4504,6,81,0.5,49,,,0
4505,6,81,0.5,50,,,0
4506,6,81,0.5,51,,,0
4507,6,81,0.5,52,,,0
4508,6,81,0.5,53,,,0
4509,6,81,0.5,54,,,0
4510,6,81,0.5,55,,,0
4511,6,81,0.5,56,,,0
4512,6,81,0.5,57,,,0
4513,6,81,0.5,58,,,0
4514,6,81,0.5,59,,,0
4515,6,81,0.5,60,,,0
4516,6,81,0.5,61,,,0
4517,6,81,0.5,62,,,0
4518,6,81,0.5,63,,,0
4519,6,81,0.5,64,,,0
4520,6,81,0.5,65,0.44398826108538,,1
4521,6,81,0.5,66,,,0
4522,6,81,0.5,67,,,0
4523,6,81,0.5,68,6.017841270493601,2.1964809000283676,3
4524,6,81,0.5,69,,,0
4525,6,81,0.5,70,,,0
4526,6,81,0.5,71,,,0
4527,6,81,0.5,72,,,0
4528,6,81,0.5,73,,,0
4529,6,81,0.5,74,,,0
4530,6,81,0.5,75,,,0
4531,6,81,0.5,76,,,0
4532,6,81,0.5,77,,,0
4533,6,81,0.5,78,,,0
4534,6,81,0.5,79,,,0
4535,6,81,0.5,80,,,0
4536,6,81,0.5,81,,,0
