,dataset,fold,k,Average Mean Error,Average stdDev
1,1,1,81.0,4.878478112175619,4.00904420404246
2,1,2,81.0,4.699701844778152,3.461729218637221
3,1,3,81.0,4.559351894817506,3.527759176795046
4,1,4,81.0,4.6462674312142065,3.2404026841532625
5,1,5,81.0,5.148340974744724,4.504544657954578
6,1,6,81.0,6.247958542073472,3.2833174341751032
7,1,7,81.0,16.107679196931997,4.057279067589193
8,1,8,81.0,17.654641903421066,3.3293290783812233
9,1,9,81.0,6.0246649533817935,3.8960770160297615
10,1,10,81.0,4.970798784135521,3.9823059784034833
11,2,1,81.0,5.640440216069256,3.956339529326374
12,2,2,81.0,5.725483558656805,4.512138496150112
13,2,3,81.0,4.772722998677755,3.3701872832604955
14,2,4,81.0,4.338584325228117,3.8220781908562222
15,2,5,81.0,4.657166443833905,3.6116704424870667
16,2,6,81.0,5.44250970298777,4.588974629148161
17,2,7,81.0,3.780604529097318,2.8920498120332163
18,2,8,81.0,5.2325347741432084,4.0311494515783375
19,2,9,81.0,5.53224352004573,3.4114916163623663
20,2,10,81.0,15.681541507912822,2.5788205692439305
21,3,1,81.0,5.246137174175601,4.05023533505199
22,3,2,81.0,4.902995170874049,4.041299570856139
23,3,3,81.0,19.88876556218398,4.765938747596824
24,3,4,81.0,4.752751995561407,3.368251200275606
25,3,5,81.0,5.4217297870572025,3.2949087462128763
26,3,6,81.0,6.26351712382629,3.679218176565587
27,3,7,81.0,4.378236916529408,4.045872815918689
28,3,8,81.0,15.823160813626872,3.8160362815968654
29,3,9,81.0,4.515392094616841,3.3137829761841315
30,3,10,81.0,4.096777379935064,3.185138192534322
31,4,1,81.0,4.982000766905893,3.349394962064757
32,4,2,81.0,7.627195750472803,4.431471998097802
33,4,3,81.0,13.223177098177542,3.2256027840271266
34,4,4,81.0,5.398228303838588,4.246352954155843
35,4,5,81.0,4.136082604106312,3.111973041714148
36,4,6,81.0,5.615490479428444,4.967177318086871
37,4,7,81.0,4.0604126522945005,3.1347911963755966
38,4,8,81.0,4.325572341459291,3.9836226519857316
39,4,9,81.0,20.188876924524752,3.6928521862256525
40,4,10,81.0,4.812370154649318,4.874652595666982
41,5,1,81.0,4.5167429241760235,3.556376580256387
42,5,2,81.0,4.5344986538421725,4.208972113284715
43,5,3,81.0,4.9051177156208325,4.9427095082755805
44,5,4,81.0,4.650641387647441,2.753335528932672
45,5,5,81.0,3.9120684722271326,3.53339800979969
46,5,6,81.0,5.316900669556314,5.49391148932174
47,5,7,81.0,5.725624210832643,4.187947933915135
48,5,8,81.0,5.046507903363154,4.105567023503609
49,5,9,81.0,3.4267190578870546,2.8645611749756474
50,5,10,81.0,18.968192366546695,3.6990952560327233
51,6,1,81.0,7.193256820756367,4.589873439337398
52,6,2,81.0,4.147625033614092,3.855375293255103
53,6,3,81.0,5.050073303405248,3.370413910571109
54,6,4,81.0,4.0317502687839,2.9090734942314973
55,6,5,81.0,4.11688294220931,3.0449373981597034
56,6,6,81.0,4.884950767985418,4.088239213733872
57,6,7,81.0,5.667162068230224,4.219261084041382
58,6,8,81.0,4.930695483715078,4.2601664821012815
59,6,9,81.0,4.387436150216334,3.4537409341779752
60,6,10,81.0,6.783052557954481,3.8952757627767873
61,7,1,81.0,5.764535543490768,4.548656700187433
62,7,2,81.0,14.04803366006238,4.979341074120767
63,7,3,81.0,5.7075999484000715,3.3543716206815772
64,7,4,81.0,4.413974841699375,3.1423733190035352
65,7,5,81.0,4.5518001905315675,3.1784818884335775
66,7,6,81.0,7.295391153809832,3.2622522735456365
67,7,7,81.0,4.120196318233441,3.5525053163560414
68,7,8,81.0,4.557640267652016,3.9384063460428407
69,7,9,81.0,4.762916539565075,2.8789755519841917
70,7,10,81.0,4.902515352189961,3.080752244929919
71,8,1,81.0,4.20596093860035,3.2598554096602004
72,8,2,81.0,6.114040555609073,4.997282454788982
73,8,3,81.0,4.392902870021426,3.2193790350707676
74,8,4,81.0,4.414812037478621,3.782826480280605
75,8,5,81.0,5.665946676172676,4.311859849102323
76,8,6,81.0,3.5599280006201024,3.100493460978601
77,8,7,81.0,4.4227701967028334,3.5406069316222344
78,8,8,81.0,5.667624458921932,4.627004851943807
79,8,9,81.0,4.907864069921942,3.363249136033041
80,8,10,81.0,12.900863178689736,3.529094837659411
81,9,1,81.0,4.54254673575127,4.233870069221236
82,9,2,81.0,5.5346852122059795,5.012696783870906
83,9,3,81.0,5.387820267304781,3.9781985360935956
84,9,4,81.0,3.9866754737491075,3.474505763721198
85,9,5,81.0,6.401918854475947,3.6841620152249637
86,9,6,81.0,13.787695595435792,3.6126490541230845
87,9,7,81.0,4.385678400895215,2.647865816581379
88,9,8,81.0,3.884159386726231,3.706084821749234
89,9,9,81.0,17.051146501214973,3.482083218000448
90,9,10,81.0,4.4208913596047585,4.279066145375109
