,Series,k,Mean,stdDev
6361,1,1,2.933606431,3.338480596
6362,2,1,2.91964407,3.980187078
6363,3,1,2.520561437,2.326805317
6364,4,1,3.368351579,4.533767096
6365,5,1,2.477860195,2.766138805
6366,6,1,2.703708114,2.391801497
6367,7,1,2.929957304,3.619232267
6368,8,1,3.063929749,3.288421922
6369,9,1,2.732037651,2.999710001
6370,10,1,3.470532256,4.344053526
6371,1,2,2.712679885,3.320397696
6372,2,2,2.714321312,3.55096715
6373,3,2,2.263208654,2.093629877
6374,4,2,3.144809102,3.586235623
6375,5,2,2.27772142,2.050828459
6376,6,2,2.302726417,2.286666432
6377,7,2,2.635655531,3.150978383
6378,8,2,2.662942912,2.881787514
6379,9,2,2.548799024,2.95815079
6380,10,2,2.952958093,3.394900728
6381,1,3,2.62633916,2.938353209
6382,2,3,2.531210142,3.123764676
6383,3,3,2.128014017,1.931700585
6384,4,3,3.028181392,3.294941108
6385,5,3,2.337501018,2.259266093
6386,6,3,2.289071361,1.93031277
6387,7,3,2.477471682,2.977711718
6388,8,3,2.422589953,2.424771328
6389,9,3,2.235865488,2.357398472
6390,10,3,2.731509329,2.755555914
6391,1,4,2.614084576,3.03863973
6392,2,4,2.493847144,3.02609962
6393,3,4,2.024818585,1.884089834
6394,4,4,2.814036607,3.068628118
6395,5,4,2.215013079,1.837444302
6396,6,4,2.325209219,1.878784001
6397,7,4,2.377713839,2.846135005
6398,8,4,2.443742833,2.573443401
6399,9,4,2.317268036,2.423275603
6400,10,4,2.737463835,2.668505638
6401,1,5,2.465642913,2.828188369
6402,2,5,2.572326594,3.028625054
6403,3,5,2.024251126,1.772594917
6404,4,5,2.692060293,2.904182488
6405,5,5,2.132376515,1.890003427
6406,6,5,2.244628098,1.923401891
6407,7,5,2.366315749,2.742862957
6408,8,5,2.463970483,2.562848747
6409,9,5,2.405340385,2.505611361
6410,10,5,2.731428976,2.66032552
6411,1,6,2.328555255,2.620176951
6412,2,6,2.598938424,3.068844182
6413,3,6,2.134304973,1.87618962
6414,4,6,2.709526746,2.801089229
6415,5,6,2.071442306,1.839941819
6416,6,6,2.242573326,1.806513377
6417,7,6,2.332816884,2.699102714
6418,8,6,2.42883442,2.639061658
6419,9,6,2.323577286,2.603283888
6420,10,6,2.619050351,2.485630651
6421,1,7,2.266016777,2.569578791
6422,2,7,2.547185745,3.045303021
6423,3,7,2.189459795,2.077478366
6424,4,7,2.660830472,2.783490328
6425,5,7,2.113491784,2.017711152
6426,6,7,2.200324912,1.827687994
6427,7,7,2.304617964,2.690994322
6428,8,7,2.429882328,2.808460539
6429,9,7,2.348210118,2.674787908
6430,10,7,2.543863361,2.481507036
6431,1,8,2.240046616,2.512278507
6432,2,8,2.472348038,2.946254253
6433,3,8,2.164409039,1.993640125
6434,4,8,2.603080028,2.748970701
6435,5,8,2.152420388,2.069275536
6436,6,8,2.162324176,1.793153402
6437,7,8,2.280929055,2.726626311
6438,8,8,2.34355496,2.641232436
6439,9,8,2.394755642,2.735325071
6440,10,8,2.46430692,2.450167378
6441,1,9,2.224830086,2.451852548
6442,2,9,2.442350502,2.933932162
6443,3,9,2.098612391,1.954261538
6444,4,9,2.585662218,2.712147269
6445,5,9,2.157468319,1.958712762
6446,6,9,2.141408067,1.712617544
6447,7,9,2.253213062,2.736399174
6448,8,9,2.273446358,2.55431526
6449,9,9,2.37769251,2.725722251
6450,10,9,2.449234436,2.411971656
6451,1,10,2.240854322,2.424998237
6452,2,10,2.454288114,2.947491351
6453,3,10,2.069213313,1.94275953
6454,4,10,2.509192103,2.656981351
6455,5,10,2.138055833,1.917102911
6456,6,10,2.132260934,1.719839355
6457,7,10,2.225296775,2.73865157
6458,8,10,2.21863901,2.499103105
6459,9,10,2.354012446,2.649791123
6460,10,10,2.456384152,2.455633162
6461,1,11,2.194517246,2.423060543
6462,2,11,2.422710701,2.919599454
6463,3,11,2.026744486,1.907507685
6464,4,11,2.46410276,2.669207417
6465,5,11,2.136062801,1.881838867
6466,6,11,2.133459739,1.705021718
6467,7,11,2.186288735,2.723002828
6468,8,11,2.174207427,2.446168024
6469,9,11,2.370621925,2.656226959
6470,10,11,2.441031303,2.407878469
6471,1,12,2.184462194,2.333363811
6472,2,12,2.412422814,2.913319434
6473,3,12,2.013373899,1.881158684
6474,4,12,2.454758721,2.679096945
6475,5,12,2.14900186,1.875859896
6476,6,12,2.100866777,1.630636339
6477,7,12,2.180641507,2.683653401
6478,8,12,2.156992543,2.423737286
6479,9,12,2.3475368,2.590756092
6480,10,12,2.396764552,2.38817995
6481,1,13,2.185480266,2.359800766
6482,2,13,2.374444006,2.877846062
6483,3,13,1.947960521,1.845790277
6484,4,13,2.441651113,2.693714359
6485,5,13,2.130551204,1.833514378
6486,6,13,2.060324911,1.61025893
6487,7,13,2.164723469,2.671395971
6488,8,13,2.134880795,2.421825775
6489,9,13,2.342612226,2.642572857
6490,10,13,2.400435655,2.365940102
6491,1,14,2.18599084,2.388630339
6492,2,14,2.352509917,2.861214566
6493,3,14,1.963668444,1.835215117
6494,4,14,2.398239251,2.681611979
6495,5,14,2.118533308,1.777679858
6496,6,14,2.053322284,1.611716445
6497,7,14,2.166010119,2.645739532
6498,8,14,2.115617135,2.414637259
6499,9,14,2.316098902,2.668799493
6500,10,14,2.36338514,2.294522005
6501,1,15,2.165751593,2.382675202
6502,2,15,2.327782868,2.85408132
6503,3,15,1.893586406,1.756521183
6504,4,15,2.324524558,2.693587678
6505,5,15,2.109483833,1.768873473
6506,6,15,2.029144712,1.554512221
6507,7,15,2.184955764,2.647313184
6508,8,15,2.083014003,2.418044017
6509,9,15,2.303563334,2.649718763
6510,10,15,2.363800997,2.273844647
6511,1,16,2.168740332,2.389141545
6512,2,16,2.324740589,2.860959643
6513,3,16,1.869442245,1.759418979
6514,4,16,2.32920137,2.700310316
6515,5,16,2.099770906,1.74632849
6516,6,16,2.019739148,1.573014187
6517,7,16,2.189182716,2.651189801
6518,8,16,2.067398387,2.418589264
6519,9,16,2.274073467,2.691352918
6520,10,16,2.342305204,2.28362781
6521,1,17,2.180584444,2.391647778
6522,2,17,2.291751139,2.836049671
6523,3,17,1.875072879,1.746168542
6524,4,17,2.325798297,2.683042134
6525,5,17,2.056928864,1.701902498
6526,6,17,2.02836901,1.58175267
6527,7,17,2.19346459,2.633723208
6528,8,17,2.048963484,2.399416721
6529,9,17,2.249230719,2.640187469
6530,10,17,2.331103781,2.302526471
6531,1,18,2.178230377,2.398131558
6532,2,18,2.280565399,2.825958711
6533,3,18,1.890182795,1.762993603
6534,4,18,2.30603854,2.672765964
6535,5,18,2.068262243,1.678043695
6536,6,18,2.017187907,1.574081303
6537,7,18,2.203702145,2.633151938
6538,8,18,2.036854359,2.396293375
6539,9,18,2.259823247,2.697026569
6540,10,18,2.335450216,2.320480692
6541,1,19,2.192307646,2.361757043
6542,2,19,2.266548493,2.818312881
6543,3,19,1.892685926,1.760766308
6544,4,19,2.319105778,2.68536212
6545,5,19,2.072180274,1.663552871
6546,6,19,1.991454112,1.578631302
6547,7,19,2.21527969,2.637388183
6548,8,19,2.041795956,2.369730419
6549,9,19,2.219572934,2.69555067
6550,10,19,2.347427843,2.349450063
6551,1,20,2.18899679,2.386629033
6552,2,20,2.256659299,2.817250141
6553,3,20,1.870324556,1.750755748
6554,4,20,2.285115547,2.673815983
6555,5,20,2.069504787,1.603953017
6556,6,20,2.001030759,1.590747678
6557,7,20,2.214484045,2.627095446
6558,8,20,2.066419175,2.397867506
6559,9,20,2.244961462,2.701445909
6560,10,20,2.3696172,2.370213086
6561,1,21,2.184641059,2.377451689
6562,2,21,2.256445152,2.843378443
6563,3,21,1.874731108,1.748208975
6564,4,21,2.270533299,2.687747514
6565,5,21,2.085839754,1.630472873
6566,6,21,2.005750809,1.594503498
6567,7,21,2.203963419,2.623871076
6568,8,21,2.061431561,2.396794128
6569,9,21,2.236706125,2.724066853
6570,10,21,2.375525119,2.39330277
6571,1,22,2.175248868,2.375521274
6572,2,22,2.255300504,2.815121354
6573,3,22,1.869878364,1.725766855
6574,4,22,2.280098465,2.697942027
6575,5,22,2.077673489,1.607337035
6576,6,22,1.990594918,1.591526086
6577,7,22,2.181057537,2.614853917
6578,8,22,2.062934323,2.400017308
6579,9,22,2.240706434,2.721828246
6580,10,22,2.383061039,2.418764391
6581,1,23,2.191761597,2.409710026
6582,2,23,2.24580478,2.815616752
6583,3,23,1.898171279,1.737239173
6584,4,23,2.276260621,2.696259655
6585,5,23,2.0612203,1.597286125
6586,6,23,1.977305154,1.581377997
6587,7,23,2.135780491,2.609309294
6588,8,23,2.079909431,2.404681959
6589,9,23,2.213857065,2.726791108
6590,10,23,2.372363403,2.36270048
6591,1,24,2.203697296,2.422629577
6592,2,24,2.232268872,2.813827971
6593,3,24,1.900445638,1.748028367
6594,4,24,2.274149555,2.723159318
6595,5,24,2.024770603,1.573805113
6596,6,24,1.984875889,1.53978083
6597,7,24,2.110754383,2.59069405
6598,8,24,2.069069402,2.411937715
6599,9,24,2.204360432,2.686486955
6600,10,24,2.385540696,2.401920357
6601,1,25,2.191979318,2.449236669
6602,2,25,2.200833486,2.796644608
6603,3,25,1.901947869,1.749267238
6604,4,25,2.27794558,2.732985331
6605,5,25,2.002336776,1.555575207
6606,6,25,1.975536475,1.546488881
6607,7,25,2.101973193,2.582741034
6608,8,25,2.077949004,2.427178589
6609,9,25,2.19639446,2.690768605
6610,10,25,2.38201723,2.394964338
6611,1,26,2.201907801,2.482411242
6612,2,26,2.193843573,2.792975667
6613,3,26,1.919755055,1.750184959
6614,4,26,2.267242773,2.738110648
6615,5,26,1.994337496,1.540585015
6616,6,26,1.975843385,1.561698758
6617,7,26,2.092493469,2.58121885
6618,8,26,2.076928073,2.418127313
6619,9,26,2.18724139,2.700994501
6620,10,26,2.375050019,2.392704374
6621,1,27,2.216320806,2.491644696
6622,2,27,2.19199436,2.798825485
6623,3,27,1.936627817,1.722635923
6624,4,27,2.271727906,2.758918812
6625,5,27,1.985053102,1.532056909
6626,6,27,1.957401008,1.547087542
6627,7,27,2.094078813,2.590075431
6628,8,27,2.058687912,2.407629031
6629,9,27,2.223726926,2.708659371
6630,10,27,2.361869722,2.368224631
6631,1,28,2.213350818,2.498703974
6632,2,28,2.197052542,2.811018344
6633,3,28,1.963910289,1.755277153
6634,4,28,2.267290293,2.776176251
6635,5,28,1.959129309,1.529461195
6636,6,28,1.958964716,1.542806608
6637,7,28,2.095072129,2.583834118
6638,8,28,2.047168864,2.384223943
6639,9,28,2.21991639,2.72512939
6640,10,28,2.365823986,2.373410405
6641,1,29,2.231735412,2.511409065
6642,2,29,2.188490593,2.816991841
6643,3,29,1.971580935,1.769498272
6644,4,29,2.270509385,2.782251244
6645,5,29,1.963699462,1.520432176
6646,6,29,1.948600584,1.521143582
6647,7,29,2.086819903,2.588810245
6648,8,29,2.037314431,2.39204949
6649,9,29,2.214998972,2.737392684
6650,10,29,2.370998077,2.396631344
6651,1,30,2.236284169,2.513728475
6652,2,30,2.190356832,2.832423085
6653,3,30,1.975921521,1.800999828
6654,4,30,2.243634311,2.803090317
6655,5,30,1.960065691,1.537385114
6656,6,30,1.942855861,1.534874445
6657,7,30,2.088130485,2.595253118
6658,8,30,2.025003693,2.411937101
6659,9,30,2.208279177,2.721890633
6660,10,30,2.349114412,2.369372767
6661,1,31,2.251115565,2.518684677
6662,2,31,2.180139157,2.836341216
6663,3,31,1.966872849,1.804041592
6664,4,31,2.259071053,2.830950268
6665,5,31,1.947417021,1.530837386
6666,6,31,1.930854738,1.525626537
6667,7,31,2.085238162,2.592912816
6668,8,31,2.007100805,2.414191391
6669,9,31,2.199534755,2.730081946
6670,10,31,2.353863276,2.374053189
6671,1,32,2.238634154,2.530872617
6672,2,32,2.180757287,2.845862317
6673,3,32,1.973574922,1.80223258
6674,4,32,2.262372623,2.844843909
6675,5,32,1.958005151,1.540431247
6676,6,32,1.934223305,1.537787727
6677,7,32,2.084340547,2.601575611
6678,8,32,2.003434005,2.41131493
6679,9,32,2.189578388,2.733492155
6680,10,32,2.333779495,2.364312326
6681,1,33,2.239967115,2.505578799
6682,2,33,2.194948581,2.856555486
6683,3,33,1.990237403,1.811538313
6684,4,33,2.258374171,2.829917504
6685,5,33,1.938939798,1.568527383
6686,6,33,1.933690106,1.524847329
6687,7,33,2.072811899,2.607642185
6688,8,33,2.014179279,2.42110018
6689,9,33,2.181880228,2.73170695
6690,10,33,2.302438933,2.351416165
6691,1,34,2.237481786,2.490279949
6692,2,34,2.194812067,2.865343453
6693,3,34,1.968807157,1.810438991
6694,4,34,2.26038583,2.830488648
6695,5,34,1.945685859,1.573328316
6696,6,34,1.932932526,1.545859022
6697,7,34,2.05438581,2.611959349
6698,8,34,2.010716998,2.429939642
6699,9,34,2.166272148,2.728642713
6700,10,34,2.304806923,2.375635964
6701,1,35,2.235809162,2.506062755
6702,2,35,2.186987342,2.859407658
6703,3,35,1.976316841,1.800364956
6704,4,35,2.243154226,2.820917322
6705,5,35,1.957868918,1.588161009
6706,6,35,1.933131312,1.55207884
6707,7,35,2.051714465,2.61574849
6708,8,35,1.987512078,2.425808724
6709,9,35,2.175616926,2.741843735
6710,10,35,2.301362944,2.382716314
6711,1,36,2.239000551,2.52053705
6712,2,36,2.183463362,2.873878349
6713,3,36,1.992775474,1.817749977
6714,4,36,2.234690456,2.83416172
6715,5,36,1.96600029,1.58511552
6716,6,36,1.930062281,1.562013778
6717,7,36,2.063913925,2.612497052
6718,8,36,1.983881089,2.432860971
6719,9,36,2.17823237,2.747568009
6720,10,36,2.292092257,2.389418177
6721,1,37,2.232759386,2.541458525
6722,2,37,2.168185193,2.863385671
6723,3,37,1.994181528,1.820203754
6724,4,37,2.223910522,2.837899747
6725,5,37,1.966537331,1.583524554
6726,6,37,1.942283484,1.580136961
6727,7,37,2.058626898,2.614006148
6728,8,37,1.986719744,2.420545541
6729,9,37,2.174468757,2.755870056
6730,10,37,2.282821006,2.368947312
6731,1,38,2.213734488,2.531877867
6732,2,38,2.187083355,2.859790773
6733,3,38,2.004042534,1.830725666
6734,4,38,2.217005681,2.850376665
6735,5,38,1.963028854,1.557542918
6736,6,38,1.939149858,1.586681894
6737,7,38,2.071925446,2.621232823
6738,8,38,1.972555607,2.42020924
6739,9,38,2.176383228,2.756182801
6740,10,38,2.284558185,2.399284994
6741,1,39,2.209498777,2.530238428
6742,2,39,2.183887872,2.872368762
6743,3,39,2.013456787,1.854945419
6744,4,39,2.222810783,2.864921561
6745,5,39,1.961988404,1.555913903
6746,6,39,1.943554326,1.590967545
6747,7,39,2.07081402,2.628356638
6748,8,39,1.975165355,2.419816922
6749,9,39,2.158631118,2.721288502
6750,10,39,2.272132622,2.396420145
6751,1,40,2.204267791,2.54281275
6752,2,40,2.199259446,2.874421952
6753,3,40,2.021813739,1.86555885
6754,4,40,2.226014099,2.871662219
6755,5,40,1.965953394,1.568880262
6756,6,40,1.955582334,1.608834015
6757,7,40,2.074477858,2.627280211
6758,8,40,1.968711732,2.421272914
6759,9,40,2.155305341,2.731935952
6760,10,40,2.274573042,2.415128764
6761,1,41,2.203021968,2.549798108
6762,2,41,2.198636731,2.874169425
6763,3,41,2.040691242,1.871518434
6764,4,41,2.219800831,2.890708983
6765,5,41,1.959316298,1.569189758
6766,6,41,1.961514507,1.612961215
6767,7,41,2.066770515,2.625748665
6768,8,41,1.960649665,2.424075837
6769,9,41,2.138804612,2.748820595
6770,10,41,2.281592598,2.423050372
6771,1,42,2.208052114,2.571486971
6772,2,42,2.192123186,2.882888453
6773,3,42,2.058858076,1.881216277
6774,4,42,2.223690092,2.906193574
6775,5,42,1.974800168,1.578015618
6776,6,42,1.971070773,1.615964234
6777,7,42,2.063131471,2.625910122
6778,8,42,1.954261346,2.430476691
6779,9,42,2.138068201,2.757136889
6780,10,42,2.283566288,2.438604603
6781,1,43,2.20614046,2.564091489
6782,2,43,2.201396842,2.885604764
6783,3,43,2.074418889,1.894378888
6784,4,43,2.224708558,2.913110328
6785,5,43,1.968439694,1.573510451
6786,6,43,1.970089945,1.625533327
6787,7,43,2.057278952,2.633663688
6788,8,43,1.948848381,2.450857165
6789,9,43,2.148998138,2.76734748
6790,10,43,2.272626476,2.428713438
6791,1,44,2.205174404,2.564262688
6792,2,44,2.210672993,2.906382488
6793,3,44,2.069496415,1.904883511
6794,4,44,2.221063427,2.926328005
6795,5,44,1.958868269,1.585627852
6796,6,44,1.974597162,1.634779202
6797,7,44,2.054319516,2.633957812
6798,8,44,1.957395055,2.461897737
6799,9,44,2.152312675,2.784932258
6800,10,44,2.266617337,2.439852488
6801,1,45,2.206665295,2.580459818
6802,2,45,2.202894817,2.910140222
6803,3,45,2.071431991,1.903556704
6804,4,45,2.216102407,2.94497735
6805,5,45,1.959983105,1.581790917
6806,6,45,1.996594677,1.6560776
6807,7,45,2.063307856,2.640126387
6808,8,45,1.954483865,2.463865072
6809,9,45,2.156494415,2.790956574
6810,10,45,2.271085942,2.44694668
6811,1,46,2.215123393,2.601816387
6812,2,46,2.207737938,2.927773277
6813,3,46,2.084048233,1.913571323
6814,4,46,2.225142319,2.960808958
6815,5,46,1.974263263,1.608236019
6816,6,46,1.995591859,1.661689088
6817,7,46,2.062431948,2.642361917
6818,8,46,1.961008691,2.4689593
6819,9,46,2.145389936,2.802696014
6820,10,46,2.287723166,2.459719721
6821,1,47,2.218945796,2.623090237
6822,2,47,2.210589716,2.930785216
6823,3,47,2.080179845,1.915880231
6824,4,47,2.220707125,2.956477992
6825,5,47,1.973595881,1.610688911
6826,6,47,1.994537397,1.658971421
6827,7,47,2.075691699,2.651485486
6828,8,47,1.977304062,2.482285758
6829,9,47,2.154357961,2.811044872
6830,10,47,2.281705546,2.461506251
6831,1,48,2.221198968,2.604680228
6832,2,48,2.205884086,2.943383758
6833,3,48,2.089985947,1.917400852
6834,4,48,2.218052354,2.9560211
6835,5,48,1.975225417,1.613387276
6836,6,48,1.996673857,1.654117136
6837,7,48,2.086364002,2.660128138
6838,8,48,1.984102811,2.495508341
6839,9,48,2.152589614,2.807010315
6840,10,48,2.277513063,2.470114525
6841,1,49,2.222234089,2.604649512
6842,2,49,2.200767445,2.951694986
6843,3,49,2.094534794,1.9320022
6844,4,49,2.225962299,2.969048181
6845,5,49,1.978577469,1.614164428
6846,6,49,1.997838637,1.654081512
6847,7,49,2.089083226,2.65552415
6848,8,49,1.993283105,2.493832778
6849,9,49,2.152375388,2.800101861
6850,10,49,2.274711794,2.479797292
6851,1,50,2.231688915,2.616354305
6852,2,50,2.206837376,2.961605806
6853,3,50,2.111084388,1.950891823
6854,4,50,2.22146215,2.979599861
6855,5,50,1.982130361,1.627203391
6856,6,50,2.007622794,1.655503594
6857,7,50,2.082676708,2.653579298
6858,8,50,1.997237118,2.501922316
6859,9,50,2.140612291,2.81878275
6860,10,50,2.281760666,2.491501634
6861,1,51,2.231420539,2.622753551
6862,2,51,2.206305679,2.965919734
6863,3,51,2.116760509,1.952147628
6864,4,51,2.217031784,2.993084948
6865,5,51,1.97898925,1.630245093
6866,6,51,2.012990377,1.663351937
6867,7,51,2.081084848,2.660974792
6868,8,51,2.007980979,2.510013258
6869,9,51,2.14795009,2.827912838
6870,10,51,2.278661725,2.476217606
6871,1,52,2.237986138,2.62344657
6872,2,52,2.216725363,2.970447364
6873,3,52,2.118022666,1.954069135
6874,4,52,2.221622609,2.994965038
6875,5,52,1.980769909,1.638248363
6876,6,52,2.010530299,1.673899923
6877,7,52,2.080170277,2.670492479
6878,8,52,2.004114419,2.516076229
6879,9,52,2.140268051,2.837674711
6880,10,52,2.281514574,2.484867641
6881,1,53,2.245646282,2.639576611
6882,2,53,2.216437091,2.975556486
6883,3,53,2.122136946,1.963476226
6884,4,53,2.232503908,3.009017998
6885,5,53,1.984313235,1.641401151
6886,6,53,2.015296204,1.677890884
6887,7,53,2.080067065,2.672444716
6888,8,53,2.007210745,2.523220558
6889,9,53,2.145135947,2.846149514
6890,10,53,2.283440724,2.498717814
6891,1,54,2.247614256,2.637648174
6892,2,54,2.220787323,2.977422183
6893,3,54,2.120844138,1.967414287
6894,4,54,2.233538419,3.017700617
6895,5,54,1.992723589,1.649932266
6896,6,54,2.02487434,1.676940533
6897,7,54,2.076237829,2.671455613
6898,8,54,2.012196266,2.52798383
6899,9,54,2.151521942,2.849019223
6900,10,54,2.289739391,2.505010704
6901,1,55,2.252024733,2.635341994
6902,2,55,2.221763208,2.980097855
6903,3,55,2.113983401,1.96273
6904,4,55,2.231554367,3.025835411
6905,5,55,1.993749579,1.662322709
6906,6,55,2.020407382,1.676291229
6907,7,55,2.076173719,2.674088834
6908,8,55,2.015038541,2.524699351
6909,9,55,2.152306989,2.862644228
6910,10,55,2.294302367,2.510738298
6911,1,56,2.257058943,2.641976199
6912,2,56,2.223856623,2.981105821
6913,3,56,2.130374788,1.976437196
6914,4,56,2.238748172,3.039222615
6915,5,56,2.001330497,1.663250692
6916,6,56,2.025474442,1.682572694
6917,7,56,2.080565839,2.68213238
6918,8,56,2.019280439,2.526398233
6919,9,56,2.157663928,2.869133679
6920,10,56,2.292074738,2.515282976
6921,1,57,2.254899715,2.646743845
6922,2,57,2.228066975,2.988074357
6923,3,57,2.134704782,1.985845834
6924,4,57,2.233870936,3.041853272
6925,5,57,2.011184147,1.674134289
6926,6,57,2.027392356,1.682740791
6927,7,57,2.073068155,2.675805985
6928,8,57,2.021278673,2.525869072
6929,9,57,2.162564762,2.873534028
6930,10,57,2.301726424,2.504633198
6931,1,58,2.258909344,2.655019901
6932,2,58,2.231471943,2.979332002
6933,3,58,2.143603308,1.992240416
6934,4,58,2.235738702,3.048132985
6935,5,58,2.002423681,1.687340579
6936,6,58,2.030029598,1.683339771
6937,7,58,2.079172562,2.674237826
6938,8,58,2.025178392,2.529167248
6939,9,58,2.16987791,2.886277863
6940,10,58,2.306170721,2.519509791
6941,1,59,2.269817245,2.659434154
6942,2,59,2.23773185,2.99092862
6943,3,59,2.155190197,2.001579408
6944,4,59,2.237560883,3.060104444
6945,5,59,2.001867713,1.685806161
6946,6,59,2.027559833,1.684268889
6947,7,59,2.086355634,2.673070992
6948,8,59,2.026837874,2.533732028
6949,9,59,2.171112943,2.90260722
6950,10,59,2.304115019,2.52525257
6951,1,60,2.288266871,2.66445459
6952,2,60,2.234957679,2.994351173
6953,3,60,2.150703355,1.999733381
6954,4,60,2.239178984,3.070362549
6955,5,60,2.004501073,1.6942384
6956,6,60,2.031415221,1.689944025
6957,7,60,2.087141025,2.673312644
6958,8,60,2.02495297,2.535031286
6959,9,60,2.171892088,2.9150773
6960,10,60,2.310477615,2.526906737
6961,1,61,2.286217654,2.673365969
6962,2,61,2.23382347,3.001008581
6963,3,61,2.170303887,2.012358669
6964,4,61,2.238777277,3.079992058
6965,5,61,2.002963768,1.69197552
6966,6,61,2.039947467,1.697890077
6967,7,61,2.081249499,2.675904195
6968,8,61,2.024423236,2.53313143
6969,9,61,2.178982721,2.91379195
6970,10,61,2.317834411,2.532304155
6971,1,62,2.287030269,2.679943677
6972,2,62,2.236519968,3.009579555
6973,3,62,2.176814599,2.014329619
6974,4,62,2.239045559,3.09232475
6975,5,62,2.006806722,1.705705148
6976,6,62,2.039221326,1.699993961
6977,7,62,2.079761183,2.679078583
6978,8,62,2.024871534,2.536959236
6979,9,62,2.181141107,2.919308713
6980,10,62,2.325255498,2.536287069
6981,1,63,2.286269938,2.683761183
6982,2,63,2.252784719,3.021699666
6983,3,63,2.180103402,2.013237424
6984,4,63,2.243356817,3.091768591
6985,5,63,2.010322493,1.705539073
6986,6,63,2.043439784,1.708728346
6987,7,63,2.081864656,2.678003317
6988,8,63,2.034567742,2.537575479
6989,9,63,2.172724494,2.920994072
6990,10,63,2.321936246,2.527390236
6991,1,64,2.28469751,2.687468868
6992,2,64,2.255323684,3.020530044
6993,3,64,2.182769708,2.004024928
6994,4,64,2.241831473,3.092850511
6995,5,64,2.012443948,1.700060807
6996,6,64,2.048517317,1.716241384
6997,7,64,2.081367426,2.679506066
6998,8,64,2.028098327,2.532905898
6999,9,64,2.177843004,2.92457494
7000,10,64,2.322220801,2.523170938
7001,1,65,2.284832102,2.704138836
7002,2,65,2.262494635,3.025533682
7003,3,65,2.185546243,2.015117088
7004,4,65,2.245465251,3.09863044
7005,5,65,2.020407828,1.697952193
7006,6,65,2.057138302,1.723334161
7007,7,65,2.088188216,2.681618941
7008,8,65,2.033391504,2.542611258
7009,9,65,2.182683223,2.923649961
7010,10,65,2.3161798,2.517151026
7011,1,66,2.289308667,2.709513322
7012,2,66,2.272344485,3.02562839
7013,3,66,2.197026377,2.028243709
7014,4,66,2.245965191,3.11216614
7015,5,66,2.023830066,1.700906143
7016,6,66,2.055098733,1.711445454
7017,7,66,2.088087844,2.67816788
7018,8,66,2.035065725,2.548771264
7019,9,66,2.190036379,2.929759888
7020,10,66,2.318240079,2.520253982
7021,1,67,2.297389697,2.711514802
7022,2,67,2.270027993,3.025029838
7023,3,67,2.206606441,2.036371861
7024,4,67,2.244447236,3.120780341
7025,5,67,2.027127579,1.706256925
7026,6,67,2.061825795,1.710126993
7027,7,67,2.093754106,2.685187161
7028,8,67,2.040194476,2.549285309
7029,9,67,2.197382972,2.933698576
7030,10,67,2.32450809,2.521222758
7031,1,68,2.304114681,2.716377104
7032,2,68,2.273449196,3.03119994
7033,3,68,2.212570486,2.034737849
7034,4,68,2.251050191,3.130916264
7035,5,68,2.030127983,1.715176905
7036,6,68,2.070814527,1.715381094
7037,7,68,2.099386571,2.686477953
7038,8,68,2.051821954,2.550895052
7039,9,68,2.197503254,2.939956914
7040,10,68,2.324714472,2.526242437
7041,1,69,2.309046196,2.719427389
7042,2,69,2.26430208,3.036824252
7043,3,69,2.2227546,2.039323716
7044,4,69,2.249357646,3.128793066
7045,5,69,2.025520967,1.723974387
7046,6,69,2.079515805,1.719065595
7047,7,69,2.096505746,2.684449869
7048,8,69,2.05253159,2.555673273
7049,9,69,2.198583199,2.935382816
7050,10,69,2.322806336,2.517866671
7051,1,70,2.321179298,2.724334306
7052,2,70,2.267623465,3.040643489
7053,3,70,2.227806153,2.042950209
7054,4,70,2.248276523,3.133139878
7055,5,70,2.022039848,1.725529959
7056,6,70,2.088337364,1.717060199
7057,7,70,2.101405077,2.677475395
7058,8,70,2.056003512,2.562013675
7059,9,70,2.202103372,2.94214399
7060,10,70,2.320482328,2.521770799
