,dataset,k with min Average Mean Error,Average Mean Error at k,Average stdDev at k
1,1,41,2.121160816,2.381492154
2,2,28,2.110539349,2.262304954
3,3,39,2.11851791,2.314154022
4,4,41,2.127764586,2.358604755
5,5,40,2.124401498,2.315950553
6,6,41,2.119369173,2.327937177
7,7,38,2.112441118,2.344628653
8,8,39,2.101194006,2.343523783
9,9,41,2.125380836,2.322854298
10,10,37,2.091687809,2.275117546
,,38.5,2.11524571,2.324656789
