,Series,k,centroidNum,Mean,stdDev,count
1,1,81,1,126.72262429028677,,1
2,1,81,2,3.3863368682886086,,1
3,1,81,3,4.283066337851273,2.5425266487389835,6
4,1,81,4,,,0
5,1,81,5,,,0
6,1,81,6,,,0
7,1,81,7,,,0
8,1,81,8,12.57119909415098,3.6300113463040353,2
9,1,81,9,4.773620790058638,2.108534174635508,8
10,1,81,10,4.411654730188854,4.379593640653944,2
11,1,81,11,,,0
12,1,81,12,,,0
13,1,81,13,,,0
14,1,81,14,2.0676941404434395,2.461711423078555,2
15,1,81,15,5.233448234192651,7.983463385797365,7
16,1,81,16,,,0
17,1,81,17,,,0
18,1,81,18,,,0
19,1,81,19,,,0
20,1,81,20,,,0
21,1,81,21,,,0
22,1,81,22,67.59024920477174,,1
23,1,81,23,,,0
24,1,81,24,,,0
25,1,81,25,,,0
26,1,81,26,,,0
27,1,81,27,,,0
28,1,81,28,,,0
29,1,81,29,,,0
30,1,81,30,,,0
31,1,81,31,,,0
32,1,81,32,,,0
33,1,81,33,,,0
34,1,81,34,,,0
35,1,81,35,,,0
36,1,81,36,,,0
37,1,81,37,,,0
38,1,81,38,,,0
39,1,81,39,4.008409690199187,4.521295666324972,7
40,1,81,40,2.3532992038450353,0.7848529078924201,3
41,1,81,41,,,0
42,1,81,42,,,0
43,1,81,43,,,0
44,1,81,44,,,0
45,1,81,45,3.4046518286629115,1.1370895004658863,3
46,1,81,46,5.227485336512436,4.072461556456388,7
47,1,81,47,,,0
48,1,81,48,,,0
49,1,81,49,,,0
50,1,81,50,,,0
51,1,81,51,6.246848689173831,0.9067898298981442,2
52,1,81,52,3.644013671188937,1.9279003512072694,2
53,1,81,53,,,0
54,1,81,54,,,0
55,1,81,55,,,0
56,1,81,56,,,0
57,1,81,57,,,0
58,1,81,58,38.56193914220536,16.32148128671171,4
59,1,81,59,,,0
60,1,81,60,,,0
61,1,81,61,,,0
62,1,81,62,,,0
63,1,81,63,,,0
64,1,81,64,,,0
65,1,81,65,,,0
66,1,81,66,,,0
67,1,81,67,,,0
68,1,81,68,,,0
69,1,81,69,,,0
70,1,81,70,,,0
71,1,81,71,,,0
72,1,81,72,,,0
73,1,81,73,,,0
74,1,81,74,,,0
75,1,81,75,,,0
76,1,81,76,,,0
77,1,81,77,,,0
78,1,81,78,,,0
79,1,81,79,,,0
80,1,81,80,,,0
81,1,81,81,,,0
82,2,81,1,,,0
83,2,81,2,2.1933113830867037,2.5349085334090065,3
84,2,81,3,3.83792558484636,1.6969200737306966,4
85,2,81,4,,,0
86,2,81,5,,,0
87,2,81,6,,,0
88,2,81,7,,,0
89,2,81,8,7.599003225821913,6.3570804196485895,3
90,2,81,9,5.41154437947801,3.942193523296593,8
91,2,81,10,3.9475286010907547,5.0435022787024675,7
92,2,81,11,,,0
93,2,81,12,,,0
94,2,81,13,,,0
95,2,81,14,3.150529334357444,,1
96,2,81,15,4.496207122033221,5.132775800906489,5
97,2,81,16,4.281328419060183,2.494563110417444,3
98,2,81,17,,,0
99,2,81,18,,,0
100,2,81,19,,,0
101,2,81,20,,,0
102,2,81,21,8.504900729939564,,1
103,2,81,22,170.61418584178116,,1
104,2,81,23,,,0
105,2,81,24,,,0
106,2,81,25,,,0
107,2,81,26,,,0
108,2,81,27,2.4483588951964066,,1
109,2,81,28,,,0
110,2,81,29,,,0
111,2,81,30,,,0
112,2,81,31,,,0
113,2,81,32,,,0
114,2,81,33,2.06388682386924,,1
115,2,81,34,,,0
116,2,81,35,,,0
117,2,81,36,,,0
118,2,81,37,,,0
119,2,81,38,,,0
120,2,81,39,0.9368825117233257,0.9234855635969559,3
121,2,81,40,,,0
122,2,81,41,,,0
123,2,81,42,,,0
124,2,81,43,,,0
125,2,81,44,,,0
126,2,81,45,4.214628512420037,1.7340583860324197,6
127,2,81,46,4.42747777574296,5.4359024461513545,5
128,2,81,47,,,0
129,2,81,48,,,0
130,2,81,49,,,0
131,2,81,50,,,0
132,2,81,51,,,0
133,2,81,52,5.611902494991914,2.7659112280197706,3
134,2,81,53,,,0
135,2,81,54,,,0
136,2,81,55,,,0
137,2,81,56,,,0
