,Series,k,delta,centroidNum,Mean,stdDev,count
1313,3,16,1,1,9.222031972495243,11.367819923063703,26
1314,3,16,1,2,5.679384483529724,3.5453778961234503,19
1315,3,16,1,3,6.768790389714182,5.197027934897832,5
1316,3,16,1,4,7.216481571262616,6.616927676596655,18
1317,3,16,1,5,,,0
1318,3,16,1,6,3.7596519122663223,3.007240507967508,20
1319,3,16,1,7,,,0
1320,3,16,1,8,,,0
1321,3,16,1,9,4.5014119995959545,3.707398825631664,7
1322,3,16,1,10,0.17430255404859452,,1
1323,3,16,1,11,,,0
1324,3,16,1,12,,,0
1325,3,16,1,13,,,0
1326,3,16,1,14,5.2404704991585636,3.9833471856597975,10
1327,3,16,1,15,,,0
1328,3,16,1,16,,,0
