,dataset,k,Average Mean Error,Average stdDev
1,1,1296,9.740346466,3.921416011
2,2,1296,31.32104966,2.332399296
3,3,1296,5.883284899,2.711148601
4,4,1296,8.483479693,3.029508192
5,5,1296,3.02759275,1.949908716
6,6,1296,6.221257613,2.338482549
7,7,1296,6.909572466,2.351402757
8,8,1296,9.928680799,2.519936579
9,9,1296,9.152888827,2.537911275
10,10,1296,8.425976639,2.496948897
,,,9.909412981,2.618906287
