,Series,k,delta,centroidNum,Mean,stdDev,count
497,2,16,1,1,7.047865425011152,10.465370546277692,21
498,2,16,1,2,5.078688879729863,5.262081615749992,16
499,2,16,1,3,5.754484862353553,4.369202473984438,4
500,2,16,1,4,5.809916818533122,4.188572203095192,27
501,2,16,1,5,0.7890270549249294,,1
502,2,16,1,6,2.748878079355288,2.498695728855692,16
503,2,16,1,7,,,0
504,2,16,1,8,,,0
505,2,16,1,9,4.964756731376516,3.244379261101484,11
506,2,16,1,10,0.6789480164770652,,1
507,2,16,1,11,,,0
508,2,16,1,12,,,0
509,2,16,1,13,0.7376292398078164,,1
510,2,16,1,14,4.271380282875185,4.183813749632466,8
511,2,16,1,15,,,0
512,2,16,1,16,,,0
