,Series,k,delta,centroidNum,Mean,stdDev,count
817,2,16,1,1,8.636270725933638,9.772248633364805,31
818,2,16,1,2,4.983583287884042,4.993862009122691,15
819,2,16,1,3,9.890251441956472,5.055820413891956,3
820,2,16,1,4,6.590669787388164,3.929654479830999,18
821,2,16,1,5,,,0
822,2,16,1,6,4.176090933295763,3.547544689805852,22
823,2,16,1,7,,,0
824,2,16,1,8,,,0
825,2,16,1,9,3.790589761625913,3.263712684972912,12
826,2,16,1,10,,,0
827,2,16,1,11,,,0
828,2,16,1,12,,,0
829,2,16,1,13,,,0
830,2,16,1,14,4.365443196417251,3.7974264878745316,5
831,2,16,1,15,,,0
832,2,16,1,16,,,0
