,Series,k,delta,centroidNum,Mean,stdDev,count
801,1,16,1,1,11.166202284588639,13.090559928232121,31
802,1,16,1,2,6.034621581512982,4.309635012041275,19
803,1,16,1,3,15.741876767365284,,1
804,1,16,1,4,7.632317621049663,5.304757676627954,20
805,1,16,1,5,16.97684155094477,,1
806,1,16,1,6,3.540465970833003,3.141228376142441,17
807,1,16,1,7,,,0
808,1,16,1,8,,,0
809,1,16,1,9,4.855204811076928,2.5287529224193683,10
810,1,16,1,10,0.3741639443023104,,1
811,1,16,1,11,,,0
812,1,16,1,12,,,0
813,1,16,1,13,1.2658168008493789,,1
814,1,16,1,14,3.9958835629844316,3.9716612460407013,5
815,1,16,1,15,,,0
816,1,16,1,16,,,0
