,Series,k,delta,centroidNum,Mean,stdDev,count
145,10,16,1,1,7.149292607506834,5.6556971824002025,35
146,10,16,1,2,5.643452503119582,3.9448735066527667,17
147,10,16,1,3,2.5930094933873704,2.7155048747139494,2
148,10,16,1,4,8.133912360502988,4.738404332669984,17
149,10,16,1,5,6.960804054835329,2.7492317247270828,2
150,10,16,1,6,4.50780688304413,2.5602717487914672,7
151,10,16,1,7,,,0
152,10,16,1,8,,,0
153,10,16,1,9,6.671319999843738,3.2010448694980864,13
154,10,16,1,10,6.271447095977166,2.4666239616555243,10
155,10,16,1,11,,,0
156,10,16,1,12,,,0
157,10,16,1,13,0.392983438674662,,1
158,10,16,1,14,3.0326449719295847,1.8393310062239605,2
159,10,16,1,15,,,0
160,10,16,1,16,,,0
