,Series,k,delta,centroidNum,Mean,stdDev,count
1073,8,16,1,1,9.02097954732828,9.298492798130624,29
1074,8,16,1,2,5.3429318856612396,3.9768725921800585,18
1075,8,16,1,3,3.8823215107089433,2.47411020428068,3
1076,8,16,1,4,7.646032455730024,4.493626191501126,19
1077,8,16,1,5,3.4075736121447733,2.1569651369426723,2
1078,8,16,1,6,4.700229153407185,4.204604171547397,18
1079,8,16,1,7,,,0
1080,8,16,1,8,,,0
1081,8,16,1,9,3.689989145496866,2.390382959059693,14
1082,8,16,1,10,0.6747958666146161,,1
1083,8,16,1,11,,,0
1084,8,16,1,12,,,0
1085,8,16,1,13,,,0
1086,8,16,1,14,3.8339359956571073,3.410997153013716,2
1087,8,16,1,15,,,0
1088,8,16,1,16,,,0
