,Series,Mean,stdDev
1,1,10.298741637717768,9.017297876641026
2,2,9.081106783699282,6.890622426160857
3,3,9.125215292429774,7.4647158090106736
4,4,8.356464122621047,6.17896352376379
5,5,9.97544002805141,7.974842017176907
6,6,8.703226051526105,6.236500583184517
7,7,9.564503670131149,6.710214979487471
8,8,10.737265158622007,8.829969188735523
9,9,9.546407916733505,8.13612157257323
10,10,10.60011289201075,8.510052534491248
