,Series,k,delta,centroidNum,Mean,stdDev,count
561,6,16,1,1,8.127326215786617,8.572088115294637,29
562,6,16,1,2,5.894305439445747,3.8482972260959665,27
563,6,16,1,3,6.935037194321504,5.690375141799196,5
564,6,16,1,4,5.993219766343672,4.494614515851768,19
565,6,16,1,5,6.4056375962251755,,1
566,6,16,1,6,5.244748943654441,5.559220194768982,13
567,6,16,1,7,,,0
568,6,16,1,8,,,0
569,6,16,1,9,5.491379913798065,3.65086943007094,11
570,6,16,1,10,,,0
571,6,16,1,11,,,0
572,6,16,1,12,,,0
573,6,16,1,13,,,0
574,6,16,1,14,3.6481136778393903,,1
575,6,16,1,15,,,0
576,6,16,1,16,,,0
