,Series,k,delta,centroidNum,Mean,stdDev,count
689,4,16,1,1,8.665963109323933,6.9388306742805685,27
690,4,16,1,2,5.017957177423525,4.400111199897151,26
691,4,16,1,3,4.502095821056095,4.794524081013902,2
692,4,16,1,4,6.717839290893076,4.135345301833913,23
693,4,16,1,5,3.230920969591182,,1
694,4,16,1,6,4.289331054807972,3.775722215576009,13
695,4,16,1,7,,,0
696,4,16,1,8,,,0
697,4,16,1,9,,,0
698,4,16,1,10,4.757545873376419,4.388471711025918,9
699,4,16,1,11,,,0
700,4,16,1,12,,,0
701,4,16,1,13,0.3929834386378559,,1
702,4,16,1,14,5.327085573017463,1.4557720077420195,4
703,4,16,1,15,,,0
704,4,16,1,16,,,0
