,Series,k,centroidNum,Mean,stdDev,count
1,1,2,1,11.111434169110357,9.595992584786396,76
2,1,2,2,4.918516796636504,3.5012743755666946,30
3,1,3,1,4.289253423176525,2.8944898999676116,29
4,1,3,2,11.72190416521796,10.989592035174796,51
5,1,3,3,8.990283891577274,6.311213156993032,26
6,1,4,1,5.176704347483816,3.8324498684310404,32
7,1,4,2,10.102969957092153,11.674410445591239,32
8,1,4,3,4.809005542673081,1.897607997279551,21
9,1,4,4,9.922946704370206,6.190708501964773,21
10,1,5,1,,,0
11,1,5,2,4.378192831462917,3.519242220683922,29
12,1,5,3,4.976148164199671,,1
13,1,5,4,11.560877789255333,11.091580950572935,49
14,1,5,5,8.90459459078758,6.191008917434558,27
15,1,6,1,11.560877789255333,11.091580950572935,49
16,1,6,2,4.378192831462917,3.519242220683922,29
17,1,6,3,,,0
18,1,6,4,4.976148164199671,,1
19,1,6,5,,,0
20,1,6,6,8.90459459078758,6.191008917434558,27
21,1,7,1,8.904594590787582,6.191008917434558,27
22,1,7,2,11.560877789255336,11.091580950572935,49
23,1,7,3,4.976148164199671,,1
24,1,7,4,,,0
25,1,7,5,4.378192831462917,3.519242220683922,29
26,1,7,6,,,0
27,1,7,7,,,0
28,1,8,1,10.330794620809177,11.86762298713528,30
29,1,8,2,,,0
30,1,8,3,10.221232309084234,5.965183335495932,21
31,1,8,4,4.976148164199671,,1
32,1,8,5,,,0
33,1,8,6,5.576907983676246,4.287965527722508,27
34,1,8,7,3.8657237852971047,3.8545757602288897,18
35,1,8,8,5.221710899013441,2.8983851690335487,9
36,1,9,1,3.8509199408660026,2.328997193414821,7
37,1,9,2,10.263118304662216,6.11698969350192,20
38,1,9,3,3.4805270313419276,2.973002440883022,20
39,1,9,4,,,0
40,1,9,5,5.7558434059806585,4.241660174392865,29
41,1,9,6,,,0
42,1,9,7,10.359772997208308,11.865604272320585,30
43,1,9,8,,,0
44,1,9,9,,,0
45,1,10,1,4.594500155709311,,1
46,1,10,2,,,0
47,1,10,3,,,0
48,1,10,4,7.211086551511351,3.369530834253691,7
49,1,10,5,3.352180743453624,3.0589929280711408,19
50,1,10,6,5.324395322838992,4.071965081481833,26
51,1,10,7,7.826350418814211,6.542295341870663,17
52,1,10,8,,,0
53,1,10,9,10.4001691306442,11.952837944640429,29
54,1,10,10,3.8509199408660026,2.328997193414821,7
55,1,11,1,,,0
56,1,11,2,10.330794620809177,11.86762298713528,30
57,1,11,3,5.576907983676246,4.287965527722508,27
58,1,11,4,2.7379915075101455,,1
59,1,11,5,3.8657237852971047,3.8545757602288897,18
60,1,11,6,10.221232309084234,5.965183335495932,21
61,1,11,7,,,0
62,1,11,8,,,0
63,1,11,9,5.221710899013441,2.8983851690335487,9
64,1,11,10,,,0
65,1,11,11,,,0
66,1,12,1,10.411823249912322,12.012263703777618,29
67,1,12,2,,,0
68,1,12,3,5.909224459821774,4.31731363505698,13
69,1,12,4,5.839900729723996,4.274859618059756,23
70,1,12,5,5.384857717054756,2.7258437800966075,17
71,1,12,6,4.976148164199671,,1
72,1,12,7,8.744436818971845,6.101564944270698,20
73,1,12,8,3.0869980607991323,,1
74,1,12,9,,,0
75,1,12,10,3.872220255047822,0.6415691600065305,2
76,1,12,11,,,0
77,1,12,12,,,0
78,1,13,1,,,0
79,1,13,2,10.39787351868613,11.865420769524,30
80,1,13,3,5.337445831906755,2.6886013433916776,17
81,1,13,4,,,0
82,1,13,5,4.976148164199671,,1
83,1,13,6,5.352762698424826,4.271654665546299,11
84,1,13,7,9.272848653432328,6.383555581071332,15
85,1,13,8,,,0
86,1,13,9,3.0869980607991323,,1
87,1,13,10,5.872782341836384,3.0611196131684486,6
88,1,13,11,,,0
89,1,13,12,,,0
90,1,13,13,5.340861844985848,4.024868691047995,25
91,1,14,1,,,0
92,1,14,2,,,0
93,1,14,3,10.122756621549778,11.858530745562001,30
94,1,14,4,,,0
95,1,14,5,5.379139727422024,3.8094824533867424,26
96,1,14,6,4.183101215435919,0.8142586041758082,2
97,1,14,7,3.9843199528078195,3.1201421284276734,19
98,1,14,8,,,0
99,1,14,9,4.976148164199671,,1
100,1,14,10,,,0
101,1,14,11,,,0
102,1,14,12,8.76803553643722,6.066824230571334,21
103,1,14,13,,,0
104,1,14,14,4.494745867429578,3.048452957639643,7
105,1,15,1,,,0
106,1,15,2,10.923971085600705,5.802244910999228,18
107,1,15,3,,,0
108,1,15,4,10.342586539884481,11.764326808475985,30
109,1,15,5,,,0
110,1,15,6,,,0
111,1,15,7,5.7257815183958165,4.483906391347562,26
112,1,15,8,,,0
113,1,15,9,,,0
114,1,15,10,,,0
115,1,15,11,5.343568198565062,2.6871081529801173,17
