,Series,k,delta,centroidNum,Mean,stdDev,count
82,8,81,0.5,1,16.43041857884276,13.93000665592911,8
83,8,81,0.5,2,4.2906029093701585,3.579296669605581,17
84,8,81,0.5,3,,,0
85,8,81,0.5,4,6.036582116409955,5.362979621755646,8
86,8,81,0.5,5,6.713367512953834,5.016895874234417,11
87,8,81,0.5,6,,,0
88,8,81,0.5,7,,,0
89,8,81,0.5,8,3.223847478010137,1.7311570995168615,5
90,8,81,0.5,9,,,0
91,8,81,0.5,10,,,0
92,8,81,0.5,11,5.255179245830364,4.949846924380254,7
93,8,81,0.5,12,,,0
94,8,81,0.5,13,,,0
95,8,81,0.5,14,4.787293939798095,3.6880568291988394,8
96,8,81,0.5,15,,,0
97,8,81,0.5,16,,,0
98,8,81,0.5,17,,,0
99,8,81,0.5,18,,,0
100,8,81,0.5,19,,,0
101,8,81,0.5,20,,,0
102,8,81,0.5,21,,,0
103,8,81,0.5,22,,,0
104,8,81,0.5,23,,,0
105,8,81,0.5,24,,,0
106,8,81,0.5,25,,,0
107,8,81,0.5,26,,,0
108,8,81,0.5,27,,,0
109,8,81,0.5,28,,,0
110,8,81,0.5,29,6.033026872453005,2.7671103657516065,9
111,8,81,0.5,30,,,0
112,8,81,0.5,31,,,0
113,8,81,0.5,32,4.012375950136204,2.8116598645216184,13
114,8,81,0.5,33,,,0
115,8,81,0.5,34,,,0
116,8,81,0.5,35,,,0
117,8,81,0.5,36,,,0
118,8,81,0.5,37,,,0
119,8,81,0.5,38,2.798196220665334,2.427480499656995,9
120,8,81,0.5,39,4.097565849372309,2.8138060116323267,6
121,8,81,0.5,40,,,0
122,8,81,0.5,41,,,0
123,8,81,0.5,42,,,0
124,8,81,0.5,43,,,0
125,8,81,0.5,44,,,0
126,8,81,0.5,45,,,0
127,8,81,0.5,46,,,0
128,8,81,0.5,47,0.7779308070105344,,1
129,8,81,0.5,48,,,0
130,8,81,0.5,49,,,0
131,8,81,0.5,50,,,0
132,8,81,0.5,51,,,0
133,8,81,0.5,52,,,0
134,8,81,0.5,53,,,0
135,8,81,0.5,54,,,0
136,8,81,0.5,55,,,0
137,8,81,0.5,56,,,0
138,8,81,0.5,57,,,0
139,8,81,0.5,58,,,0
140,8,81,0.5,59,,,0
141,8,81,0.5,60,,,0
142,8,81,0.5,61,,,0
143,8,81,0.5,62,,,0
144,8,81,0.5,63,,,0
145,8,81,0.5,64,,,0
146,8,81,0.5,65,9.222730485132427,6.4457618071424285,4
147,8,81,0.5,66,,,0
148,8,81,0.5,67,,,0
149,8,81,0.5,68,,,0
150,8,81,0.5,69,,,0
151,8,81,0.5,70,,,0
152,8,81,0.5,71,,,0
153,8,81,0.5,72,,,0
154,8,81,0.5,73,,,0
155,8,81,0.5,74,,,0
156,8,81,0.5,75,,,0
157,8,81,0.5,76,,,0
158,8,81,0.5,77,,,0
159,8,81,0.5,78,,,0
160,8,81,0.5,79,,,0
161,8,81,0.5,80,,,0
162,8,81,0.5,81,,,0
