,Series,k,Mean,stdDev
7421,1,1,2.587006113,2.370210464
7422,2,1,3.396050297,4.772334815
7423,3,1,3.631896891,4.140698251
7424,4,1,2.772543347,2.925934173
7425,5,1,2.528678854,2.393080712
7426,6,1,2.961539951,3.536301053
7427,7,1,2.652815807,2.932356312
7428,8,1,3.406344602,4.335360948
7429,9,1,3.109605074,3.637180017
7430,10,1,2.521100864,3.25300618
7431,1,2,2.474266312,2.413592306
7432,2,2,2.921746118,3.759752643
7433,3,2,3.247801958,3.726456004
7434,4,2,2.499594519,2.310813856
7435,5,2,2.351271296,2.262722615
7436,6,2,2.62944276,3.082374086
7437,7,2,2.365286371,2.366619263
7438,8,2,2.944109857,3.416340441
7439,9,2,2.999476619,3.670228336
7440,10,2,2.111033486,2.735046414
7441,1,3,2.159342865,2.045747585
7442,2,3,2.997206181,3.81746914
7443,3,3,2.988932531,3.599575801
7444,4,3,2.441752872,2.098087196
7445,5,3,2.269490341,2.196297547
7446,6,3,2.463009317,2.556756753
7447,7,3,2.240094848,1.974167875
7448,8,3,2.676723991,2.966059417
7449,9,3,2.784138853,2.892836676
7450,10,3,1.966671317,2.115613417
7451,1,4,2.072412568,1.987463043
7452,2,4,2.893957346,3.607157103
7453,3,4,2.970994682,3.5513928
7454,4,4,2.359527723,2.026280052
7455,5,4,2.268312981,1.961462653
7456,6,4,2.448101013,2.576058913
7457,7,4,2.183774409,2.034687714
7458,8,4,2.637218342,2.766176336
7459,9,4,2.764070943,2.933906341
7460,10,4,1.83815673,1.770747058
7461,1,5,2.035650114,2.070972162
7462,2,5,2.849464703,3.56279387
7463,3,5,2.904229429,3.557400233
7464,4,5,2.372801193,2.056380523
7465,5,5,2.215481348,1.780459201
7466,6,5,2.377872001,2.587471347
7467,7,5,2.143483623,1.99681841
7468,8,5,2.573247166,2.606949391
7469,9,5,2.746571688,2.725528624
7470,10,5,1.826302163,1.673269138
7471,1,6,2.027154887,2.014155053
7472,2,6,2.828885153,3.631402146
7473,3,6,2.914955116,3.422040375
7474,4,6,2.361194364,2.144911502
7475,5,6,2.22572515,1.851179818
7476,6,6,2.401865157,2.706965589
7477,7,6,2.152721949,2.001854504
7478,8,6,2.524312704,2.61112693
7479,9,6,2.650071729,2.7906954
7480,10,6,1.901717087,1.848994179
7481,1,7,2.006362929,2.070676828
7482,2,7,2.767215978,3.601160873
7483,3,7,2.840858594,3.451781894
7484,4,7,2.444928723,2.229833456
7485,5,7,2.198653321,1.820468244
7486,6,7,2.339806789,2.564955122
7487,7,7,2.153877889,2.139646265
7488,8,7,2.483156916,2.584915162
7489,9,7,2.601530436,2.772287782
7490,10,7,1.836697449,1.771170576
7491,1,8,1.991994835,2.14597928
7492,2,8,2.734770712,3.471416029
7493,3,8,2.797210316,3.460841342
7494,4,8,2.458776168,2.303179369
7495,5,8,2.179409926,1.743886055
7496,6,8,2.29744655,2.621041039
7497,7,8,2.109948103,1.993373587
7498,8,8,2.431764663,2.543039716
7499,9,8,2.603150315,2.692277072
7500,10,8,1.855738471,1.823163938
7501,1,9,2.009046424,2.024720516
7502,2,9,2.708888184,3.429571349
7503,3,9,2.766900688,3.478181469
7504,4,9,2.436729072,2.304009655
7505,5,9,2.153911686,1.767805692
7506,6,9,2.32037505,2.625001466
7507,7,9,2.139379145,2.106767468
7508,8,9,2.45510208,2.545473416
7509,9,9,2.541335011,2.582926626
7510,10,9,1.814799948,1.854958745
7511,1,10,2.012901405,1.914705404
7512,2,10,2.657550522,3.351704585
7513,3,10,2.712699262,3.408170642
7514,4,10,2.452193338,2.331593308
7515,5,10,2.20107118,1.765537867
7516,6,10,2.315046675,2.549480435
7517,7,10,2.069092406,2.002977679
7518,8,10,2.434210867,2.558390617
7519,9,10,2.526855558,2.496462535
7520,10,10,1.835957814,1.893430704
7521,1,11,1.975361044,1.894001751
7522,2,11,2.613326642,3.307124813
7523,3,11,2.693927267,3.449411469
7524,4,11,2.49002301,2.285769729
7525,5,11,2.172997048,1.737499701
7526,6,11,2.319687272,2.640224931
7527,7,11,2.056564948,1.878859491
7528,8,11,2.443789419,2.521057143
7529,9,11,2.491779376,2.441879324
7530,10,11,1.810453795,1.789805411
7531,1,12,1.958175041,1.847407831
7532,2,12,2.564724681,3.283399386
7533,3,12,2.640517034,3.465774102
7534,4,12,2.421050084,2.167393247
7535,5,12,2.136660014,1.743352366
7536,6,12,2.270641356,2.598800698
7537,7,12,2.031599988,1.797305924
7538,8,12,2.397264699,2.481940653
7539,9,12,2.492071401,2.4441066
7540,10,12,1.755915257,1.777637791
7541,1,13,1.947906975,1.847082552
7542,2,13,2.507139105,3.234364741
7543,3,13,2.662481394,3.46119182
7544,4,13,2.406080541,2.14687955
7545,5,13,2.122180289,1.738163167
7546,6,13,2.226871996,2.569815294
7547,7,13,2.03708143,1.750059293
7548,8,13,2.358837406,2.400053909
7549,9,13,2.490142356,2.447116537
7550,10,13,1.716110613,1.694864638
7551,1,14,1.948218575,1.80837895
7552,2,14,2.471004569,3.198794308
7553,3,14,2.615197928,3.429514082
7554,4,14,2.418447711,2.136275278
7555,5,14,2.123713342,1.713160574
7556,6,14,2.209852587,2.568846185
7557,7,14,2.017396223,1.726917416
7558,8,14,2.332402627,2.375544336
7559,9,14,2.489486179,2.440074208
7560,10,14,1.708409287,1.653092549
7561,1,15,1.913962599,1.824240352
7562,2,15,2.466511649,3.195545359
7563,3,15,2.585542549,3.455333772
7564,4,15,2.414795907,2.113709988
7565,5,15,2.107872992,1.677325758
7566,6,15,2.235647433,2.597065743
7567,7,15,1.995071628,1.696109435
7568,8,15,2.265729054,2.292854484
7569,9,15,2.467095371,2.428616095
7570,10,15,1.693745247,1.644521617
7571,1,16,1.905146348,1.86269295
7572,2,16,2.422014363,3.167880197
7573,3,16,2.587198972,3.486216354
7574,4,16,2.427372899,2.158565793
7575,5,16,2.096406965,1.654588239
7576,6,16,2.219323754,2.521620655
7577,7,16,1.979810759,1.646242267
7578,8,16,2.258833939,2.281849044
7579,9,16,2.461965642,2.417646339
7580,10,16,1.705328663,1.613831163
7581,1,17,1.916643123,1.859381128
7582,2,17,2.400600874,3.156686834
7583,3,17,2.554572267,3.483959865
7584,4,17,2.43666685,2.150104035
7585,5,17,2.113767394,1.668668919
7586,6,17,2.249230955,2.547417218
7587,7,17,1.964305625,1.621732001
7588,8,17,2.249227739,2.266673515
7589,9,17,2.429842996,2.403828214
7590,10,17,1.664608442,1.584588697
7591,1,18,1.933488761,1.870042926
7592,2,18,2.373476251,3.12200719
7593,3,18,2.570564423,3.484941077
7594,4,18,2.43562039,2.149105882
7595,5,18,2.074164737,1.643263645
