,Series,k,delta,centroidNum,Mean,stdDev,count
568,8,81,0.5,1,10.921177384998861,10.759503132957338,19
569,8,81,0.5,2,3.833834656125582,2.588073214091429,18
570,8,81,0.5,3,,,0
571,8,81,0.5,4,3.7647228219283035,2.992941858052935,6
572,8,81,0.5,5,4.721466378794131,3.2155838217601227,5
573,8,81,0.5,6,,,0
574,8,81,0.5,7,,,0
575,8,81,0.5,8,,,0
576,8,81,0.5,9,,,0
577,8,81,0.5,10,,,0
578,8,81,0.5,11,4.767411219652999,4.901535472159583,6
579,8,81,0.5,12,,,0
580,8,81,0.5,13,,,0
581,8,81,0.5,14,4.788767134416949,5.012400915400104,10
582,8,81,0.5,15,,,0
583,8,81,0.5,16,,,0
584,8,81,0.5,17,,,0
585,8,81,0.5,18,,,0
586,8,81,0.5,19,,,0
587,8,81,0.5,20,,,0
588,8,81,0.5,21,,,0
589,8,81,0.5,22,,,0
590,8,81,0.5,23,,,0
591,8,81,0.5,24,,,0
592,8,81,0.5,25,,,0
593,8,81,0.5,26,,,0
594,8,81,0.5,27,,,0
595,8,81,0.5,28,,,0
596,8,81,0.5,29,3.8721530998530302,1.7224935658601526,11
597,8,81,0.5,30,,,0
598,8,81,0.5,31,,,0
599,8,81,0.5,32,4.6272105941261685,5.176177604142521,2
600,8,81,0.5,33,,,0
601,8,81,0.5,34,,,0
602,8,81,0.5,35,,,0
603,8,81,0.5,36,,,0
604,8,81,0.5,37,,,0
605,8,81,0.5,38,3.1302990434499094,1.9632188959718038,8
606,8,81,0.5,39,4.066997142085858,2.4640456605438934,14
607,8,81,0.5,40,,,0
608,8,81,0.5,41,1.2547374174399266,,1
609,8,81,0.5,42,,,0
610,8,81,0.5,43,,,0
611,8,81,0.5,44,,,0
612,8,81,0.5,45,,,0
613,8,81,0.5,46,,,0
614,8,81,0.5,47,0.3909117219072016,0.11735600976411005,2
615,8,81,0.5,48,,,0
616,8,81,0.5,49,,,0
617,8,81,0.5,50,,,0
618,8,81,0.5,51,,,0
619,8,81,0.5,52,,,0
620,8,81,0.5,53,,,0
621,8,81,0.5,54,,,0
622,8,81,0.5,55,,,0
623,8,81,0.5,56,,,0
624,8,81,0.5,57,,,0
625,8,81,0.5,58,,,0
626,8,81,0.5,59,,,0
627,8,81,0.5,60,,,0
628,8,81,0.5,61,,,0
629,8,81,0.5,62,,,0
630,8,81,0.5,63,,,0
631,8,81,0.5,64,,,0
632,8,81,0.5,65,0.7186642717604315,,1
633,8,81,0.5,66,,,0
634,8,81,0.5,67,,,0
635,8,81,0.5,68,3.519878527627886,3.559687710286816,3
636,8,81,0.5,69,,,0
637,8,81,0.5,70,,,0
638,8,81,0.5,71,,,0
639,8,81,0.5,72,,,0
640,8,81,0.5,73,,,0
641,8,81,0.5,74,,,0
642,8,81,0.5,75,,,0
643,8,81,0.5,76,,,0
644,8,81,0.5,77,,,0
645,8,81,0.5,78,,,0
646,8,81,0.5,79,,,0
647,8,81,0.5,80,,,0
648,8,81,0.5,81,,,0
