,Series,k,delta,centroidNum,Mean,stdDev,count
289,9,16,1,1,7.923752613308423,8.157932748844281,35
290,9,16,1,2,5.370281383003818,3.90056626684136,21
291,9,16,1,3,8.257136903618381,3.4114174694097152,2
292,9,16,1,4,4.983390789964881,3.4726793211971225,14
293,9,16,1,5,7.1054066090052155,,1
294,9,16,1,6,3.888828433749614,4.000517400881558,18
295,9,16,1,7,,,0
296,9,16,1,8,,,0
297,9,16,1,9,5.047255375755676,3.3028503790122303,13
298,9,16,1,10,,,0
299,9,16,1,11,,,0
300,9,16,1,12,,,0
301,9,16,1,13,61.142683860648525,,1
302,9,16,1,14,5.1268569193632345,,1
303,9,16,1,15,,,0
304,9,16,1,16,,,0
