LE,Predicted LE,Error,Health_Expenditure,GDP_Per_Capita,Education,Unemployment,centroid#,centroid_Health_Expenditure,centroid_GDP_Per_Capita,centroid_Education,centroid_Unemployment
77.72682927,80.46482077751014,2.737991507510145,0.42580477581759657,0.709901652381362,0.3893794731129861,0.09379242244571756,1,0.28539155722601106,0.7606699355406299,0.45545427742446176,0.06386401793079627
50.28100000000001,73.01312908682668,22.732129086826667,0.05333112629970182,0.08248325975318539,0.3850714676278286,0.4950080975273452,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
78.456,73.54084312310975,4.915156876890251,0.1129236232637959,0.13102373253305016,0.5372416827701004,0.2966269634912853,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
73.905,68.36448782750611,5.540512172493891,0.1171009500692002,0.14616158541655833,0.44140655817233415,0.3595151447986669,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
70.34899999999999,71.56729830115893,1.2182983011589386,0.024798563327453973,0.031536629362757064,0.4990183166825846,0.30526398121450604,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
71.896,71.9597983851267,0.06379838512670233,0.08925760688292593,0.09763987345489901,0.5502725288939484,0.2528400933991629,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
72.112,64.39763258160954,7.714367418390452,0.05563311754368429,0.11640234383313065,0.3611420686563687,0.3722007201885029,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
73.428,56.91448856197107,16.513511438028928,0.07666366156536547,0.072776193619227,0.3590239146197613,0.33198469431141525,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
78.919,71.56726026698267,7.351739733017325,0.10762622780231162,0.10561631802053004,0.5473266774962708,0.2682706109280433,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
74.139,65.1145081553844,9.024491844615596,0.03256700869169706,0.061043145607927465,0.3663346532362999,0.397571922790176,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
62.931,53.23384462767706,9.69715537232294,0.0171335761026513,0.028834236349172336,0.23583463657229065,0.4326597152358579,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
75.33658537,81.6493879903563,6.312802620356308,0.1349344911127591,0.1116754947516554,0.5080603298478478,0.5134534694427925,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
75.59899999999998,76.31830590769435,0.7193059076943769,0.09303399597015942,0.0954463548675849,0.5383016713841607,0.3449266944092937,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
73.0804878,89.64821227187551,16.567724471875508,0.10198215495233688,0.1501079000284111,0.5632287074310989,0.4673345826894984,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
76.1097561,71.59601813998381,4.513737960016186,0.20431270924240486,0.21390715409168803,0.4973745698108975,0.3714800699462288,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
68.27560976,80.62709791139208,12.35148815139209,0.02584385157473536,0.04124267493101102,0.6051444841151602,0.26816806166566426,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
71.17,75.5281786564137,4.358178656413699,0.07473093709742422,0.0912147191958796,0.5691170216225377,0.26426521950383985,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
74.426,62.82036036090075,11.605639639099252,0.06266686940313948,0.09197746486653842,0.36667650701943627,0.3724706326519503,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
72.083,66.74706020911393,5.335939790886073,0.06035142014364067,0.05902107073145109,0.4005481251958616,0.4075584510086329,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
81.47560976,84.57628207804997,3.1006723180499733,0.29403215522291537,0.2678535980360964,0.5988618863799374,0.4765654025421409,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
75.922,75.06008173990955,0.861918260090448,0.07904520870623935,0.08513785662789093,0.4821257999707129,0.4053506054221079,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
76.732,71.90153978376193,4.830460216238066,0.08186180856905252,0.10481593014383472,0.5540924104690638,0.2291989972103681,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
74.828,63.91656883502122,10.91143116497878,0.02907173678462348,0.04948050049310712,0.35768536726468336,0.39946125821230705,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
70.813,77.62310599632939,6.8101059963293835,0.07658787340174539,0.09133428334795443,0.6015264185030124,0.2475283320270595,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
72.46600000000002,74.01718547230685,1.5511854723068268,0.0531710965748646,0.10518407012737148,0.4214485459072443,0.4310402922771744,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
70.921,64.14610361151861,6.774896388481395,0.053106511630827434,0.11109397134900673,0.3802823751716855,0.3400818871077411,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
73.86341463,83.4820864302861,9.618671800286108,0.15421905447123996,0.1957198975013371,0.5912503699388774,0.3553261994417933,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
73.09899999999998,62.097767672741,11.001232327258975,0.0805550052490492,0.07484665851125727,0.4077152368468639,0.3373828142952677,2,0.08074078432392402,0.10558713611861965,0.4779915611506519,0.3646895606253851
