,Country_Name,Year,Life_Expectancy,Health_Expenditure,GDP_Per_Capita,Primary_School_Enrollment,Secondary_School_Enrollment,Tertiary_School_Enrollment,Unemployment,Education
0,Chile,2012,79.176,0.15175248773322883,0.1719903854883443,0.5574376493455454,0.517614571984601,0.5756483039310608,0.17434324628572728,0.5502335084204025
1,Iceland,2015,82.46829268,0.4009038618805942,0.36486531634014624,0.5104933112490646,0.7093009276994303,0.5743891331447388,0.10200296895979678,0.5980611240310779
2,Panama,2010,76.792,0.10961284291480224,0.12513496009023692,0.5763517898108385,0.3996803436558449,0.3339052165886689,0.09481806910500803,0.4366457833517841
3,North Macedonia,2010,74.66199999999999,0.07456038176180878,0.08928668989344764,0.3963461434956176,0.47027680111126663,0.2822344974183222,0.8588335837703466,0.3829524806750688
4,Norway,2014,82.1,0.626563194369576,0.525818957621935,0.5227005228934726,0.6683931591572205,0.5879525567096153,0.0886318143527461,0.5930154129201028
5,Panama,2005,75.892,0.06414145728398729,0.0941761411172392,0.5976737384395251,0.3782434597439677,0.31744076303872454,0.27341503468619127,0.4311193204074058
6,Slovenia,2002,76.00731707,0.1625264172499578,0.19717358392911674,0.5775734655681403,0.6345021597412006,0.5020772006529589,0.15444035751303586,0.5713842753207666
7,Morocco,2012,74.97,0.038571554048873254,0.05117472308083664,0.6332780211086886,0.38959707967190055,0.14465194660584754,0.2372475924137101,0.38917568246214557
8,Croatia,2015,77.27560976,0.1621585607903428,0.17037013153586036,0.5303343207614808,0.576931484445463,0.5036124565192707,0.43118062814543157,0.5369594205754048
9,Portugal,2002,77.06585366,0.17504298573996516,0.2152276590427085,0.7176752007945464,0.6331876051055582,0.3999825710800803,0.11596792577724108,0.5836151256600616
10,Luxembourg,2002,77.96585366,0.40168108792427343,0.7070372605850457,0.5276616638553568,0.5614082817849351,0.08666484644846839,0.06534160307088306,0.3919115973629201
11,Israel,2016,82.40731707,0.28633591337959646,0.26861162732149063,0.5726694986254878,0.6195698067460813,0.4914731069628993,0.12410289243986991,0.5612374707781561
12,Colombia,2011,75.655,0.06526142210037994,0.09175895421990495,0.7038904736710088,0.5801560447122261,0.3246019582658255,0.26750138889582337,0.5362161588830202
13,St. Lucia,2016,75.752,0.0663832194374048,0.09434267686455257,0.543835716599659,0.5113469771626916,0.1407432594949459,0.5684954254273086,0.39864198441909876
14,Croatia,2012,76.92439024,0.16460457815799365,0.16464457079112027,0.48768148689008883,0.5786379298266058,0.4590186114004061,0.4246866936221413,0.508446009372367
15,United States,2009,78.3902439,0.7795188462972117,0.40193606804694976,0.5469148878911928,0.5546985704315549,0.6648602603532668,0.24437852138177835,0.5888245728920048
16,Norway,2007,80.39512195,0.45713058444274624,0.5397703550821791,0.5150763725065071,0.6736649872676014,0.5722823246943682,0.061900303197240804,0.5870078948228256
17,Mexico,2004,75.243,0.06716538324915773,0.1283956458838153,0.6158412654245452,0.4652916812294444,0.17678045116178556,0.1008504742686259,0.4193044659385918
18,Luxembourg,2008,80.53902439,0.5790169467111517,0.7897727987186818,0.5302714598060552,0.5693431782786632,0.07717104516135334,0.131177141337177,0.39226189441535725
19,Iceland,2013,82.06097561,0.36848543406819617,0.3493466564517109,0.5053183008653284,0.7038953369797039,0.6089630281023783,0.13971427390771465,0.6060588886491368
20,Cyprus,2013,79.999,0.21130941985832696,0.2454283310952739,0.5220352529112545,0.5747139025818063,0.35888694827243084,0.42296199264883444,0.4852120345884972
21,Czech Republic,2012,78.07560976,0.20503957882691776,0.23326425642361692,0.5180310405163739,0.5648639454746276,0.4973562831408928,0.18294785698562208,0.5267504230439648
22,Malaysia,2015,75.461,0.10297254008764813,0.20696445370857305,0.5632322311170871,0.4880194650519585,0.34414005220739863,0.07827281147995306,0.46513058279214814
23,Albania,2015,78.025,0.07459268601024731,0.08606455401575755,0.5807429169717471,0.5687308125346194,0.46940018875733935,0.4556017572185988,0.5396246394212353
